address,price_(dkk),area_(sqm),rooms,energy_rating,price_per_sqm_(dkk),days_on_market,image_url,property_url,market_status,price_category
"Rebæk Søpark 19, 2650 Hvidovre",2895000,101,4,c,28663,35,https://images.boligsiden.dk/images/case/4a259b4c-8635-4feb-a220-30d07dcd0d2f/600x400/f9357aa4-f247-48b0-b796-bbbb07292320.webp,https://www.boligsiden.dk/adresse/rebaek-soepark-19-0-tv-2650-hvidovre-01676690__19_st__tv,Moderate,Low
"Næsborgvej 32, 2650 Hvidovre",2170000,73,3,c,29726,247,https://images.boligsiden.dk/images/case/af3a4e70-935f-4bfb-9a46-9fa5c618290e/600x400/880029aa-a4d6-40ed-9d82-d2af8e49d6b0.webp,https://www.boligsiden.dk/adresse/naesborgvej-32-1-tv-2650-hvidovre-01676123__32__1__tv,Very Old,Low
"Næsborgvej 12, 2650 Hvidovre",2195000,73,3,c,30068,9,https://images.boligsiden.dk/images/case/a40662e5-eb7a-4678-99c1-5fa2cbbe533b/600x400/cee26955-9b11-4d14-9680-9dc363c380c7.webp,https://www.boligsiden.dk/adresse/naesborgvej-12-1-th-2650-hvidovre-01676123__12__1__th,New,Medium
"Rebæk Søpark 17, 2650 Hvidovre",2595000,86,3,c,30174,2,https://images.boligsiden.dk/images/case/7d38415f-58e2-43db-af4e-8c82ccbb2339/600x400/b885a295-e238-4817-8e6e-f0b6d3309802.webp,https://www.boligsiden.dk/adresse/rebaek-soepark-17-4-th-2650-hvidovre-01676690__17__4__th,New,Medium
"Hvidovrevej 275, 2650 Hvidovre",2650000,86,3,c,30814,3,https://images.boligsiden.dk/images/case/3f86aafa-11f4-4786-877c-7ef4490fa34e/600x400/98a88caa-80e0-46bd-b828-d3488398500e.webp,https://www.boligsiden.dk/adresse/hvidovrevej-275-1-12-2650-hvidovre-01674032_275__1__12,New,Medium
"Næsborgvej 16, 2650 Hvidovre",2295000,73,3,c,31438,17,https://images.boligsiden.dk/images/case/560dca68-0991-44f2-848c-e8de6f9c0ce7/600x400/33fbef73-eca9-4dad-ab07-e1af662da6a0.webp,https://www.boligsiden.dk/adresse/naesborgvej-16-0-tv-2650-hvidovre-01676123__16_st__tv,New,Medium
"Kettegård Alle 51, 2650 Hvidovre",2150000,68,3,e,31618,158,https://images.boligsiden.dk/images/case/d9cac308-5c2a-4385-b410-e700ca5c8a84/600x400/f5282997-d8b7-42e2-abea-944a51306790.webp,https://www.boligsiden.dk/adresse/kettegaard-alle-51-1-th-2650-hvidovre-01674599__51__1__th,Old,Medium
"Vigerslevvej 39, 2500 Valby",4650000,147,5,c,31633,224,https://images.boligsiden.dk/images/case/2a9829d6-b0bb-40a9-8211-6939cc399ba1/600x400/8d6a04db-aff4-43f7-a84a-89c41bc46a36.webp,https://www.boligsiden.dk/adresse/vigerslevvej-39-0-th-2500-valby-01018320__39_st__th,Very Old,Medium
"Stillidsvej 1A, 2650 Hvidovre",4495000,142,6,c,31655,102,https://images.boligsiden.dk/images/case/827f88bd-b4ee-47d1-8ed5-9e5587cf6455/600x400/d204703f-eca8-4cca-92a6-e0470e1bfc87.webp,https://www.boligsiden.dk/adresse/stillidsvej-1a-1-2-2650-hvidovre-01677736__1a__1___2,Old,Medium
"Næsborgvej 80, 2650 Hvidovre",2345000,73,3,c,32123,72,https://images.boligsiden.dk/images/case/d79ea400-aecd-436b-bce8-451bdfe3f891/600x400/a7bdb922-b626-476b-9980-8c0ba2c99cb7.webp,https://www.boligsiden.dk/adresse/naesborgvej-80-0-th-2650-hvidovre-01676123__80_st__th,Moderate,Medium
