Title,Price,Area,Rooms,Address,Energy Rating,URL
N/A,N/A,N/A,N/A,"{'_links': {'self': {'href': '/addresses/0a3f50a5-8a51-32b8-e044-0003ba298018'}}, 'addressID': '0a3f50a5-8a51-32b8-e044-0003ba298018', 'allowNewValuationInfo': False, 'city': {'name': 'Hvidovre', 'slug': ''}, 'cityName': 'Hvidovre', 'daysOnMarket': {'realtors': None}, 'door': 'tv', 'floor': '0', 'gstkvhx': '01676690__19_st__tv', 'houseNumber': '19', 'isPublic': True, 'municipality': {'municipalityCode': 0, 'name': '', 'slug': ''}, 'place': {'bbox': None, 'coordinates': {'lat': 0, 'lon': 0, 'type': ''}, 'id': 0, 'name': '', 'slug': ''}, 'province': {'name': '', 'provinceCode': '', 'regionCode': 0, 'slug': ''}, 'road': {'municipalityCode': 0, 'name': 'Rebæk Søpark', 'roadCode': 0, 'roadID': '', 'slug': ''}, 'roadName': 'Rebæk Søpark', 'slug': 'rebaek-soepark-19-0-tv-2650-hvidovre-01676690__19_st__tv', 'zip': {'name': 'Hvidovre', 'slug': '', 'zipCode': 2650}, 'zipCode': 2650}",N/A,https://www.boligsiden.dk/adresse/rebaek-soepark-19-0-tv-2650-hvidovre-01676690__19_st__tv
N/A,N/A,N/A,N/A,"{'_links': {'self': {'href': '/addresses/0a3f50a5-825c-32b8-e044-0003ba298018'}}, 'addressID': '0a3f50a5-825c-32b8-e044-0003ba298018', 'allowNewValuationInfo': False, 'city': {'name': 'Hvidovre', 'slug': ''}, 'cityName': 'Hvidovre', 'daysOnMarket': {'realtors': None}, 'door': 'tv', 'floor': '1', 'gstkvhx': '01676123__32__1__tv', 'houseNumber': '32', 'isPublic': True, 'municipality': {'municipalityCode': 0, 'name': '', 'slug': ''}, 'place': {'bbox': None, 'coordinates': {'lat': 0, 'lon': 0, 'type': ''}, 'id': 0, 'name': '', 'slug': ''}, 'province': {'name': '', 'provinceCode': '', 'regionCode': 0, 'slug': ''}, 'road': {'municipalityCode': 0, 'name': 'Næsborgvej', 'roadCode': 0, 'roadID': '', 'slug': ''}, 'roadName': 'Næsborgvej', 'slug': 'naesborgvej-32-1-tv-2650-hvidovre-01676123__32__1__tv', 'zip': {'name': 'Hvidovre', 'slug': '', 'zipCode': 2650}, 'zipCode': 2650}",N/A,https://www.boligsiden.dk/adresse/naesborgvej-32-1-tv-2650-hvidovre-01676123__32__1__tv
N/A,N/A,N/A,N/A,"{'_links': {'self': {'href': '/addresses/0a3f50a5-821f-32b8-e044-0003ba298018'}}, 'addressID': '0a3f50a5-821f-32b8-e044-0003ba298018', 'allowNewValuationInfo': False, 'city': {'name': 'Hvidovre', 'slug': ''}, 'cityName': 'Hvidovre', 'daysOnMarket': {'realtors': None}, 'door': 'th', 'floor': '1', 'gstkvhx': '01676123__12__1__th', 'houseNumber': '12', 'isPublic': True, 'municipality': {'municipalityCode': 0, 'name': '', 'slug': ''}, 'place': {'bbox': None, 'coordinates': {'lat': 0, 'lon': 0, 'type': ''}, 'id': 0, 'name': '', 'slug': ''}, 'province': {'name': '', 'provinceCode': '', 'regionCode': 0, 'slug': ''}, 'road': {'municipalityCode': 0, 'name': 'Næsborgvej', 'roadCode': 0, 'roadID': '', 'slug': ''}, 'roadName': 'Næsborgvej', 'slug': 'naesborgvej-12-1-th-2650-hvidovre-01676123__12__1__th', 'zip': {'name': 'Hvidovre', 'slug': '', 'zipCode': 2650}, 'zipCode': 2650}",N/A,https://www.boligsiden.dk/adresse/naesborgvej-12-1-th-2650-hvidovre-01676123__12__1__th
N/A,N/A,N/A,N/A,"{'_links': {'self': {'href': '/addresses/0a3f50a5-8a45-32b8-e044-0003ba298018'}}, 'addressID': '0a3f50a5-8a45-32b8-e044-0003ba298018', 'allowNewValuationInfo': False, 'city': {'name': 'Hvidovre', 'slug': ''}, 'cityName': 'Hvidovre', 'daysOnMarket': {'realtors': None}, 'door': 'th', 'floor': '4', 'gstkvhx': '01676690__17__4__th', 'houseNumber': '17', 'isPublic': True, 'municipality': {'municipalityCode': 0, 'name': '', 'slug': ''}, 'place': {'bbox': None, 'coordinates': {'lat': 0, 'lon': 0, 'type': ''}, 'id': 0, 'name': '', 'slug': ''}, 'province': {'name': '', 'provinceCode': '', 'regionCode': 0, 'slug': ''}, 'road': {'municipalityCode': 0, 'name': 'Rebæk Søpark', 'roadCode': 0, 'roadID': '', 'slug': ''}, 'roadName': 'Rebæk Søpark', 'slug': 'rebaek-soepark-17-4-th-2650-hvidovre-01676690__17__4__th', 'zip': {'name': 'Hvidovre', 'slug': '', 'zipCode': 2650}, 'zipCode': 2650}",N/A,https://www.boligsiden.dk/adresse/rebaek-soepark-17-4-th-2650-hvidovre-01676690__17__4__th
N/A,N/A,N/A,N/A,"{'_links': {'self': {'href': '/addresses/0a3f50a5-6cd0-32b8-e044-0003ba298018'}}, 'addressID': '0a3f50a5-6cd0-32b8-e044-0003ba298018', 'allowNewValuationInfo': False, 'city': {'name': 'Hvidovre', 'slug': ''}, 'cityName': 'Hvidovre', 'daysOnMarket': {'realtors': None}, 'door': '12', 'floor': '1', 'gstkvhx': '01674032_275__1__12', 'houseNumber': '275', 'isPublic': True, 'municipality': {'municipalityCode': 0, 'name': '', 'slug': ''}, 'place': {'bbox': None, 'coordinates': {'lat': 0, 'lon': 0, 'type': ''}, 'id': 0, 'name': '', 'slug': ''}, 'province': {'name': '', 'provinceCode': '', 'regionCode': 0, 'slug': ''}, 'road': {'municipalityCode': 0, 'name': 'Hvidovrevej', 'roadCode': 0, 'roadID': '', 'slug': ''}, 'roadName': 'Hvidovrevej', 'slug': 'hvidovrevej-275-1-12-2650-hvidovre-01674032_275__1__12', 'zip': {'name': 'Hvidovre', 'slug': '', 'zipCode': 2650}, 'zipCode': 2650}",N/A,https://www.boligsiden.dk/adresse/hvidovrevej-275-1-12-2650-hvidovre-01674032_275__1__12
N/A,N/A,N/A,N/A,"{'_links': {'self': {'href': '/addresses/0a3f50a5-822a-32b8-e044-0003ba298018'}}, 'addressID': '0a3f50a5-822a-32b8-e044-0003ba298018', 'allowNewValuationInfo': False, 'city': {'name': 'Hvidovre', 'slug': ''}, 'cityName': 'Hvidovre', 'daysOnMarket': {'realtors': None}, 'door': 'tv', 'floor': '0', 'gstkvhx': '01676123__16_st__tv', 'houseNumber': '16', 'isPublic': True, 'municipality': {'municipalityCode': 0, 'name': '', 'slug': ''}, 'place': {'bbox': None, 'coordinates': {'lat': 0, 'lon': 0, 'type': ''}, 'id': 0, 'name': '', 'slug': ''}, 'province': {'name': '', 'provinceCode': '', 'regionCode': 0, 'slug': ''}, 'road': {'municipalityCode': 0, 'name': 'Næsborgvej', 'roadCode': 0, 'roadID': '', 'slug': ''}, 'roadName': 'Næsborgvej', 'slug': 'naesborgvej-16-0-tv-2650-hvidovre-01676123__16_st__tv', 'zip': {'name': 'Hvidovre', 'slug': '', 'zipCode': 2650}, 'zipCode': 2650}",N/A,https://www.boligsiden.dk/adresse/naesborgvej-16-0-tv-2650-hvidovre-01676123__16_st__tv
N/A,N/A,N/A,N/A,"{'_links': {'self': {'href': '/addresses/0a3f50a5-76ce-32b8-e044-0003ba298018'}}, 'addressID': '0a3f50a5-76ce-32b8-e044-0003ba298018', 'allowNewValuationInfo': False, 'city': {'name': 'Hvidovre', 'slug': ''}, 'cityName': 'Hvidovre', 'daysOnMarket': {'realtors': None}, 'door': 'th', 'floor': '1', 'gstkvhx': '01674599__51__1__th', 'houseNumber': '51', 'isPublic': True, 'municipality': {'municipalityCode': 0, 'name': '', 'slug': ''}, 'place': {'bbox': None, 'coordinates': {'lat': 0, 'lon': 0, 'type': ''}, 'id': 0, 'name': '', 'slug': ''}, 'province': {'name': '', 'provinceCode': '', 'regionCode': 0, 'slug': ''}, 'road': {'municipalityCode': 0, 'name': 'Kettegård Alle', 'roadCode': 0, 'roadID': '', 'slug': ''}, 'roadName': 'Kettegård Alle', 'slug': 'kettegaard-alle-51-1-th-2650-hvidovre-01674599__51__1__th', 'zip': {'name': 'Hvidovre', 'slug': '', 'zipCode': 2650}, 'zipCode': 2650}",N/A,https://www.boligsiden.dk/adresse/kettegaard-alle-51-1-th-2650-hvidovre-01674599__51__1__th
N/A,N/A,N/A,N/A,"{'_links': {'self': {'href': '/addresses/0a3f50a1-ab14-32b8-e044-0003ba298018'}}, 'addressID': '0a3f50a1-ab14-32b8-e044-0003ba298018', 'allowNewValuationInfo': False, 'city': {'name': 'Valby', 'slug': ''}, 'cityName': 'Valby', 'daysOnMarket': {'realtors': None}, 'door': 'th', 'floor': '0', 'gstkvhx': '01018320__39_st__th', 'houseNumber': '39', 'isPublic': True, 'municipality': {'municipalityCode': 0, 'name': '', 'slug': ''}, 'place': {'bbox': None, 'coordinates': {'lat': 0, 'lon': 0, 'type': ''}, 'id': 0, 'name': '', 'slug': ''}, 'province': {'name': '', 'provinceCode': '', 'regionCode': 0, 'slug': ''}, 'road': {'municipalityCode': 0, 'name': 'Vigerslevvej', 'roadCode': 0, 'roadID': '', 'slug': ''}, 'roadName': 'Vigerslevvej', 'slug': 'vigerslevvej-39-0-th-2500-valby-01018320__39_st__th', 'zip': {'name': 'Valby', 'slug': '', 'zipCode': 2500}, 'zipCode': 2500}",N/A,https://www.boligsiden.dk/adresse/vigerslevvej-39-0-th-2500-valby-01018320__39_st__th
N/A,N/A,N/A,N/A,"{'_links': {'self': {'href': '/addresses/0a3f50a5-9521-32b8-e044-0003ba298018'}}, 'addressID': '0a3f50a5-9521-32b8-e044-0003ba298018', 'allowNewValuationInfo': False, 'city': {'name': 'Hvidovre', 'slug': ''}, 'cityName': 'Hvidovre', 'daysOnMarket': {'realtors': None}, 'door': '2', 'floor': '1', 'gstkvhx': '01677736__1A__1___2', 'houseNumber': '1A', 'isPublic': True, 'municipality': {'municipalityCode': 0, 'name': '', 'slug': ''}, 'place': {'bbox': None, 'coordinates': {'lat': 0, 'lon': 0, 'type': ''}, 'id': 0, 'name': '', 'slug': ''}, 'province': {'name': '', 'provinceCode': '', 'regionCode': 0, 'slug': ''}, 'road': {'municipalityCode': 0, 'name': 'Stillidsvej', 'roadCode': 0, 'roadID': '', 'slug': ''}, 'roadName': 'Stillidsvej', 'slug': 'stillidsvej-1a-1-2-2650-hvidovre-01677736__1a__1___2', 'zip': {'name': 'Hvidovre', 'slug': '', 'zipCode': 2650}, 'zipCode': 2650}",N/A,https://www.boligsiden.dk/adresse/stillidsvej-1a-1-2-2650-hvidovre-01677736__1a__1___2
N/A,N/A,N/A,N/A,"{'_links': {'self': {'href': '/addresses/0a3f50a5-82e9-32b8-e044-0003ba298018'}}, 'addressID': '0a3f50a5-82e9-32b8-e044-0003ba298018', 'allowNewValuationInfo': False, 'city': {'name': 'Hvidovre', 'slug': ''}, 'cityName': 'Hvidovre', 'daysOnMarket': {'realtors': None}, 'door': 'th', 'floor': '0', 'gstkvhx': '01676123__80_st__th', 'houseNumber': '80', 'isPublic': True, 'municipality': {'municipalityCode': 0, 'name': '', 'slug': ''}, 'place': {'bbox': None, 'coordinates': {'lat': 0, 'lon': 0, 'type': ''}, 'id': 0, 'name': '', 'slug': ''}, 'province': {'name': '', 'provinceCode': '', 'regionCode': 0, 'slug': ''}, 'road': {'municipalityCode': 0, 'name': 'Næsborgvej', 'roadCode': 0, 'roadID': '', 'slug': ''}, 'roadName': 'Næsborgvej', 'slug': 'naesborgvej-80-0-th-2650-hvidovre-01676123__80_st__th', 'zip': {'name': 'Hvidovre', 'slug': '', 'zipCode': 2650}, 'zipCode': 2650}",N/A,https://www.boligsiden.dk/adresse/naesborgvej-80-0-th-2650-hvidovre-01676123__80_st__th
